and_nodes,anomalies,avg_q,avg_r_dep,avg_r_env,cycles,failed_actions,max_depth,max_width,open_actions,or_nodes,q_mismatches,root_id,root_status,shared_or_states,skeleton_actions,solved,solved_actions,solved_path,solved_path_len,source_path,synthetic_skeletons,tactic_actions,theorem,total_edges,total_nodes
531,131,0.6649875657010516,0.0018832391713747645,0.25255818716997813,2,282,2,379,31,81,0,state_0,OPEN,10,51,False,218,state_0,1,outputs/rollouts/gemini3flash/miniF2F-valid-50/aime_1994_p3.json,19,480,aime_1994_p3.json,632,612
507,85,0.6566638739120902,0.0039447731755424065,0.35094395280755386,1,277,3,423,77,288,0,state_0,OPEN,38,81,False,153,state_0,1,outputs/rollouts/gemini3flash/miniF2F-valid-50/aime_1995_p7.json,1,426,aime_1995_p7.json,858,795
507,8,0.7784071165625731,0.0019723865877712033,0.35631638677953564,3,251,3,358,43,175,0,state_0,OPEN,23,44,False,213,state_0,1,outputs/rollouts/gemini3flash/miniF2F-valid-50/aime_1997_p9.json,0,463,aime_1997_p9.json,722,682
16,5,0.0,0.0,0.0,0,16,0,17,0,1,0,state_0,OPEN,0,4,False,0,state_0,1,outputs/rollouts/gemini3flash/miniF2F-valid-50/aime_1999_p11.json,0,12,aime_1999_p11.json,16,17
12,0,0.9320767195767198,0.0,0.6820767195767196,0,9,0,13,0,1,0,state_0,SOLVED,0,0,True,3,state_0 -> action_3,2,outputs/rollouts/gemini3flash/miniF2F-valid-50/algebra_2varlineareq_fp3zeq11_3tfm1m5zeqn68_feqn10_zeq7.json,0,12,algebra_2varlineareq_fp3zeq11_3tfm1m5zeqn68_feqn10_zeq7.json,12,13
509,5,0.7815180870736739,0.0,0.27660649571807455,0,233,2,329,19,74,0,state_0,OPEN,13,20,False,257,state_0,1,outputs/rollouts/gemini3flash/miniF2F-valid-50/algebra_9onxpypzleqsum2onxpy.json,0,489,algebra_9onxpypzleqsum2onxpy.json,599,583
511,27,0.6761909007369046,0.0,0.3728640905607794,4,324,2,458,32,123,0,state_0,OPEN,10,33,False,155,state_0,1,outputs/rollouts/gemini3flash/miniF2F-valid-50/algebra_abpbcpcageq3_sumaonsqrtapbgeq3onsqrt2.json,1,478,algebra_abpbcpcageq3_sumaonsqrtapbgeq3onsqrt2.json,651,634
512,2,0.7888771201058904,0.0,0.3513771201058905,0,245,2,339,43,166,0,state_0,OPEN,32,44,False,224,state_0,1,outputs/rollouts/gemini3flash/miniF2F-valid-50/algebra_absapbon1pabsapbleqsumabsaon1pabsa.json,0,468,algebra_absapbon1pabsapbleqsumabsaon1pabsa.json,715,678
12,0,0.93351942177028,0.0,0.8501860884369465,0,11,0,13,0,1,0,state_0,SOLVED,0,0,True,1,state_0 -> action_1,2,outputs/rollouts/gemini3flash/miniF2F-valid-50/algebra_absxm1pabsxpabsxp1eqxp2_0leqxleq1.json,0,12,algebra_absxm1pabsxpabsxp1eqxp2_0leqxleq1.json,12,13
16,0,0.0,0.0,0.0,0,16,0,17,0,1,0,state_0,OPEN,0,4,False,0,state_0,1,outputs/rollouts/gemini3flash/miniF2F-valid-50/algebra_amgm_sum1toneqn_prod1tonleq1.json,0,12,algebra_amgm_sum1toneqn_prod1tonleq1.json,16,17
12,0,0.46049751928110055,0.0,0.3771641859477673,0,11,0,13,0,1,0,state_0,SOLVED,0,0,True,1,state_0 -> action_6,2,outputs/rollouts/gemini3flash/miniF2F-valid-50/algebra_amgm_sumasqdivbgeqsuma.json,0,12,algebra_amgm_sumasqdivbgeqsuma.json,12,13
511,4,0.47519982293422325,0.0,0.14838964680897862,0,312,3,319,32,136,0,state_0,OPEN,10,69,False,167,state_0,1,outputs/rollouts/gemini3flash/miniF2F-valid-50/algebra_apbmpcneq0_aeq0anbeq0anceq0.json,1,442,algebra_apbmpcneq0_aeq0anbeq0anceq0.json,665,647
528,17,0.606198142135642,0.0,0.16680420274170274,3,265,3,385,31,74,0,state_0,OPEN,17,49,False,232,state_0,1,outputs/rollouts/gemini3flash/miniF2F-valid-50/algebra_apbon2pownleqapownpbpowon2.json,17,479,algebra_apbon2pownleqapownpbpowon2.json,627,602
530,69,0.7714481246776036,0.0,0.5393726529794903,3,328,3,482,79,389,0,state_0,OPEN,23,98,False,123,state_0,1,outputs/rollouts/gemini3flash/miniF2F-valid-50/algebra_apbpceq2_abpbcpcaeq1_aleq1on3anbleq1ancleq4on3.json,18,432,algebra_apbpceq2_abpbcpcaeq1_aleq1on3anbleq1ancleq4on3.json,950,919
512,28,0.7860382946256199,0.0,0.4110382946256199,0,265,3,430,55,194,0,state_0,OPEN,31,56,False,192,state_0,1,outputs/rollouts/gemini3flash/miniF2F-valid-50/algebra_bleqa_apbon2msqrtableqambsqon8b.json,0,456,algebra_bleqa_apbon2msqrtableqambsqon8b.json,752,706
507,16,0.8062639455948876,0.0,0.3526150304075108,0,246,3,361,31,107,0,state_0,OPEN,12,32,False,230,state_0,1,outputs/rollouts/gemini3flash/miniF2F-valid-50/algebra_cubrtrp1oncubrtreq3_rcubp1onrcubeq5778.json,0,475,algebra_cubrtrp1oncubrtreq3_rcubp1onrcubeq5778.json,632,614
536,101,0.6783044610487823,0.0,0.3723343117950509,0,304,3,426,68,255,0,state_0,OPEN,27,93,False,164,state_0,1,outputs/rollouts/gemini3flash/miniF2F-valid-50/algebra_ineq_nto1onlt2m1on.json,25,443,algebra_ineq_nto1onlt2m1on.json,829,791
310,3,0.8421441372247823,0.00564516129032258,0.31714413722478235,2,139,2,217,10,25,0,state_0,SOLVED,8,14,True,161,state_0 -> action_12 -> state_1 -> action_13 -> state_2 -> action_25 -> state_3 -> action_94 -> state_8 -> action_95 -> state_9 -> action_107 -> state_10 -> action_120 -> state_11 -> action_132 -> state_16 -> action_195 -> state_17 -> action_205,20,outputs/rollouts/gemini3flash/miniF2F-valid-50/algebra_others_exirrpowirrrat.json,2,296,algebra_others_exirrpowirrrat.json,348,335
12,0,1.6666666666666667,0.0,0.8333333333333334,0,2,0,13,0,1,0,state_0,SOLVED,0,0,True,10,state_0 -> action_0,2,outputs/rollouts/gemini3flash/miniF2F-valid-50/algebra_sqineq_at2malt1.json,0,12,algebra_sqineq_at2malt1.json,12,13
244,3,0.7652808615230264,0.00819672131147541,0.3062644680804035,0,132,1,247,2,20,0,state_0,SOLVED,1,4,True,110,state_0 -> action_85 -> state_7 -> action_87 -> state_8 -> action_98 -> state_9 -> action_116 -> state_10 -> action_122 -> state_11 -> action_134,12,outputs/rollouts/gemini3flash/miniF2F-valid-50/algebra_sqineq_unitcircatbpabsamblt1.json,0,240,algebra_sqineq_unitcircatbpabsamblt1.json,264,264
12,1,0.8456649831649831,0.0,0.6789983164983164,0,10,0,13,0,1,0,state_0,SOLVED,0,0,True,2,state_0 -> action_6,2,outputs/rollouts/gemini3flash/miniF2F-valid-50/algebra_sqineq_unitcircatbpamblt1.json,0,12,algebra_sqineq_unitcircatbpamblt1.json,12,13
16,0,0.0,0.0,0.0,0,16,0,17,0,1,0,state_0,OPEN,0,4,False,0,state_0,1,outputs/rollouts/gemini3flash/miniF2F-valid-50/algebra_sum1onsqrt2to1onsqrt10000lt198.json,0,12,algebra_sum1onsqrt2to1onsqrt10000lt198.json,16,17
519,68,0.7417520826292552,0.0038535645472061657,0.2639100787756906,0,244,3,385,29,107,0,state_0,OPEN,15,39,False,246,state_0,1,outputs/rollouts/gemini3flash/miniF2F-valid-50/amc12_2000_p1.json,7,480,amc12_2000_p1.json,649,626
509,10,0.8468324327168125,0.0034926871862038856,0.4386246178292334,0,261,3,369,42,143,0,state_0,OPEN,18,45,False,206,state_0,1,outputs/rollouts/gemini3flash/miniF2F-valid-50/amc12_2000_p12.json,1,464,amc12_2000_p12.json,673,652
508,15,0.8177400453669474,0.0024371953505811774,0.2582162358431379,0,183,3,317,42,149,0,state_0,OPEN,24,44,False,283,state_0,1,outputs/rollouts/gemini3flash/miniF2F-valid-50/amc12_2000_p20.json,0,464,amc12_2000_p20.json,694,657
16,0,0.019794891640866875,0.0,0.019794891640866875,0,16,0,17,0,1,0,state_0,OPEN,0,4,False,0,state_0,1,outputs/rollouts/gemini3flash/miniF2F-valid-50/amc12_2000_p6.json,0,12,amc12_2000_p6.json,16,17
514,6,0.4744651861297531,0.0,0.34800604216088143,0,376,3,412,73,293,0,state_0,OPEN,34,82,False,65,state_0,1,outputs/rollouts/gemini3flash/miniF2F-valid-50/amc12_2001_p21.json,4,432,amc12_2001_p21.json,851,807
16,0,0.0,0.0,0.0,0,16,0,17,0,1,0,state_0,OPEN,0,4,False,0,state_0,1,outputs/rollouts/gemini3flash/miniF2F-valid-50/amc12_2001_p5.json,0,12,amc12_2001_p5.json,16,17
512,0,0.7164239686528955,0.005859375,0.3023614686528955,0,262,2,352,41,165,0,state_0,OPEN,24,44,False,209,state_0,1,outputs/rollouts/gemini3flash/miniF2F-valid-50/amc12a_2002_p13.json,0,468,amc12a_2002_p13.json,723,677
504,3,0.6275012025012024,0.003968253968253968,0.17908850408850407,3,266,2,362,14,43,0,state_0,SOLVED,9,16,True,224,state_0 -> action_320 -> state_26 -> action_323 -> state_27 -> action_333 -> state_28 -> action_345 -> state_29 -> action_406 -> state_33 -> action_414 -> state_34 -> action_425 -> state_35 -> action_431 -> state_42 -> action_492,18,outputs/rollouts/gemini3flash/miniF2F-valid-50/amc12a_2002_p6.json,0,488,amc12a_2002_p6.json,558,547
16,6,0.0,0.0,0.0,0,16,0,17,0,1,0,state_0,OPEN,0,4,False,0,state_0,1,outputs/rollouts/gemini3flash/miniF2F-valid-50/amc12a_2003_p23.json,0,12,amc12a_2003_p23.json,16,17
12,0,1.2193674308147993,0.0,0.8860340974814659,0,8,0,13,0,1,0,state_0,SOLVED,0,0,True,4,state_0 -> action_0,2,outputs/rollouts/gemini3flash/miniF2F-valid-50/amc12a_2003_p5.json,0,12,amc12a_2003_p5.json,12,13
352,55,0.02312736573099641,0.0,0.02312736573099641,0,348,1,357,4,22,0,state_0,OPEN,1,88,False,0,state_0,1,outputs/rollouts/gemini3flash/miniF2F-valid-50/amc12a_2008_p25.json,0,264,amc12a_2008_p25.json,376,374
532,78,0.7719410132474042,0.0018796992481203006,0.2794598102398854,9,241,3,299,30,59,0,state_0,OPEN,15,54,False,261,state_0,1,outputs/rollouts/gemini3flash/miniF2F-valid-50/amc12a_2009_p6.json,22,478,amc12a_2009_p6.json,614,591
503,15,0.700361796517217,0.0,0.22322461957884715,1,219,3,329,44,126,0,state_0,OPEN,22,44,False,240,state_0,1,outputs/rollouts/gemini3flash/miniF2F-valid-50/amc12a_2009_p7.json,0,459,amc12a_2009_p7.json,669,629
512,26,0.8612141927083332,0.013671875,0.3260579427083333,0,223,2,312,22,79,0,state_0,OPEN,17,32,False,267,state_0,1,outputs/rollouts/gemini3flash/miniF2F-valid-50/amc12a_2013_p4.json,1,480,amc12a_2013_p4.json,625,591
514,10,0.6038252829731873,0.0,0.2458486292766892,2,287,3,324,43,106,0,state_0,OPEN,25,48,False,184,state_0,1,outputs/rollouts/gemini3flash/miniF2F-valid-50/amc12a_2019_p12.json,4,466,amc12a_2019_p12.json,665,620
519,29,0.5562894640995848,0.0,0.2903935103423593,3,315,2,408,66,242,0,state_0,OPEN,27,76,False,138,state_0,1,outputs/rollouts/gemini3flash/miniF2F-valid-50/amc12a_2020_p10.json,8,443,amc12a_2020_p10.json,809,761
545,73,0.5454540830801207,0.0,0.33261004638287295,0,373,2,396,56,174,0,state_0,OPEN,26,90,False,116,state_0,1,outputs/rollouts/gemini3flash/miniF2F-valid-50/amc12a_2020_p15.json,34,455,amc12a_2020_p15.json,758,719
